4170,2025
316,3842
5622,5939
5501,4612
290,583
1138,1159
4815,4413
3112,4625
1210,3753
3451,4777
1930,573
102,2640
1387,4470
1277,1400
2793,886
6112,6018
146,1646
6435,3624
4631,5839
4507,6021
4747,1444
1878,1943
6204,6160
5389,4647
1191,6415
1953,5046
5795,2725
3572,351
6297,347
1879,2411
5277,4762
4153,550
302,6402
5808,1817
6388,5549
1602,4027
6361,260
5039,5020
2189,1349
3587,1978
1729,1002
4035,1750
4723,854
845,1634
5886,2849
1157,1181
1383,2607
6386,6363
293,2417
905,5242
2318,1913
5894,2798
5375,2324
2001,4245
4851,94
3431,3370
1141,3474
6000,1195
2672,5454
3368,3270
5199,4371
5552,1154
4994,3979
5530,5354
6100,2335
3131,718
3064,924
2995,5258
3693,1704
3365,4265
5279,3073
1032,4638
3299,107
4407,3722
355,3203
4786,2761
6064,1192
6537,1462
3372,1211
2701,1564
3922,1629
340,1439
4035,2789
6275,4193
5790,1863
2664,3615
3267,3393
1653,3076
6477,500
3933,6012
1779,6155
4206,5792
3851,1351
1415,3379
1703,4385
410,3070
6049,6390
5829,4368
4181,3128
2031,2360
